Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity,Descent Rate (m/s),Flag,DOY
5/4/2018 12:13,1.212,19.2206,1.4297,2.8511,28.465,24.661198,8.9524,95.172,7.405,343.7579,380.86,1.679266712,0.107,0,124.5096875
5/4/2018 12:13,1.237,19.1125,1.4107,2.8517,28.24,24.24195,9.0907,95.855,7.403,344.0422,364.68,1.669481744,0.11,0,124.5096875
5/4/2018 12:13,1.268,18.9236,1.3768,2.8612,28.07,23.84286,9.2477,96.61,7.405,344.3087,353.32,1.666270947,0.113,0,124.5096875
5/4/2018 12:13,1.301,18.6624,1.3515,2.8442,28.072,23.581225,9.4135,97.395,7.409,344.3124,360.1,1.67673502,0.118,0,124.5096875
5/4/2018 12:13,1.333,18.3389,1.3529,2.829,28.184,23.427199,9.5637,98.045,7.411,344.3446,373.1,1.696816531,0.122,0,124.5096875
5/4/2018 12:13,1.363,17.9307,1.4115,2.8602,28.304,23.313422,9.6757,98.409,7.412,344.3549,350.1,1.721187885,0.122,0,124.5096875
5/4/2018 12:13,1.393,17.4721,1.5088,2.8858,28.405,23.221057,9.7523,98.539,7.418,344.1787,329.04,1.746883769,0.116,0,124.5096875
5/4/2018 12:13,1.427,16.9893,1.5551,2.8644,28.478,23.135506,9.8083,98.569,7.429,344.1923,323.28,1.772289962,0.108,0,124.5096875
5/4/2018 12:13,1.459,16.5345,1.5676,2.876,28.507,23.040666,9.8417,98.469,7.443,344.4341,311.29,1.794054351,0.099,0,124.5096875
5/4/2018 12:13,1.482,16.1561,1.6229,2.9655,28.523,22.962991,9.8354,98.071,7.455,344.6929,301.8,1.811933272,0.089,0,124.5096875
5/4/2018 12:13,1.497,15.8528,1.7092,3.0611,28.606,22.958036,9.7767,97.224,7.465,344.9976,293.26,1.831220328,0.08,0,124.5096875
5/4/2018 12:13,1.514,15.6013,1.7553,3.0853,28.703,22.980676,9.6854,96.118,7.474,345.1937,284.7,1.849329793,0.071,0,124.5096875
5/4/2018 12:13,1.532,15.3887,1.7587,3.0748,28.745,22.982728,9.6071,95.226,7.482,344.9136,287.45,1.862057157,0.062,0,124.5096875
5/4/2018 12:13,1.548,15.2394,1.7589,3.0869,28.761,22.982803,9.5773,94.885,7.487,344.3639,285.6,1.870137454,0.054,0,124.5096875
5/4/2018 12:13,1.564,15.1185,1.7584,3.1096,28.77,22.981574,9.5978,95.058,7.493,343.9664,278.15,1.87644545,0.047,0,124.5096875
5/4/2018 12:13,1.577,15.0113,1.7525,3.1052,28.765,22.967862,9.6423,95.462,7.501,343.6357,275.93,1.881167613,0.037,0,124.5096875
5/4/2018 12:13,1.583,14.9598,1.752,3.0947,28.749,22.943966,9.6988,95.982,7.507,343.2905,273.72,1.882501524,0.03,0,124.5096875
5/4/2018 12:13,1.586,14.9518,1.7523,3.1057,28.767,22.946567,9.775,96.695,7.512,343.1487,283.22,1.884128599,0.025,0,124.5096875
5/4/2018 12:13,1.589,14.9404,1.7191,3.1159,28.841,22.999305,9.8606,97.517,7.515,343.4698,288.11,1.889800477,0.024,0,124.5096875
5/4/2018 12:13,1.592,14.9173,1.6628,3.1268,28.922,23.07374,9.9316,98.255,7.518,343.9895,276.67,1.896521771,0.03,0,124.5096875
5/4/2018 12:13,1.599,14.9019,1.6329,3.1145,28.901,23.084753,9.9697,98.735,7.518,344.1834,283.18,1.895800908,0.044,0,124.5096875
5/4/2018 12:13,1.609,14.8799,1.6327,3.0891,28.768,23.005525,9.9724,98.861,7.516,344.1795,295.67,1.887617819,0.061,0,124.5096875
5/4/2018 12:13,1.624,14.8574,1.6427,3.0956,28.613,22.877649,9.9718,98.839,7.513,344.2875,277.94,1.877924389,0.078,0,124.5096875
5/4/2018 12:13,1.649,14.8702,1.6432,3.1008,28.508,22.744791,9.9962,98.899,7.511,344.284,257.59,1.870028851,0.092,0,124.5096875
5/4/2018 12:13,1.68,14.9321,1.63,3.0907,28.509,22.668756,10.0422,99.064,7.51,344.0512,271.56,1.86717914,0.098,0,124.5096875
