attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
EXOChla_RFU_1	Total Chlorophyll a at 1 meter depth as measured by the EXO Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOChla_ugL_1	Total Chlorophyll a at 1 meter depth as measured by the EXO Sonde	numeric	microgramsPerLiter		NA	value is missing
EXOBGAPC_RFU_1	Blue-Green Algae Phyocycanin at 1 meter depth as measured by the EXO Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOBGAPC_ugL_1	Blue-Green Algae Phycoycanin at 1 meter depth as measured by the EXO Sonde	numeric	milligramsPerLiter		NA	value is missing
EXOfDOM_RFU_1	Fine Dissolved Organic Matter at 1 meter depth as measured by the EXO Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOfDOM_QSU_1	Fine Dissolved Organic Matter at 1 meter depth as measured by the EXO Sonde	numeric	QuinineSulfateUnits		NA	value is missing
EXO_pressure	"Gauge pressure of EXO sonde at 1 m, measured relative to ambient atmospheric pressure."	numeric	psig		NA	value is missing
EXO_depth	Depth of the EXO sonde as measured by the EXO sonde.	numeric	meter		NA	value is missing
EXO_battery	Voltage of the EXO sonde internal batteries.	numeric	volt		NA	value is missing
EXO_cablepower	Measure of power being used by the cable connected to the CR6 datalogger as measured by the EXO sonde.	numeric	volt		NA	value is missing
EXO_wiper	Wiper brush cleaning system activation signal as measured by the EXO sonde.	numeric	volt		NA	value is missing
RECORD	The nth record collected since the instrument was turned on or the program was altered.	numeric	number		NA	value is missing
CR6_Batt_V	The battery voltage of the CR6 at that time.	numeric	volt		NA	value is missing
CR6Panel_Temp_C	Panel temperature of the CR6 data logger	numeric	celsius		NA	value is missing
Flag_All	"Data flag for all data parameters (ThermistorTemp_C_surface, ThermistorTemp_C_1, ??ThermistorTemp_C_2, ThermistorTemp_C_3, ?ThermistorTemp_C_4, ThermistorTemp_C_5, ThermistorTemp_C_6, ThermistorTemp_C_7, ThermistorTemp_C_8, ThermistorTemp_C_9, RDO_mgL_5, RDOsat_percent_5, RDOTemp_C_5, RDO_mgL_9, RDOsat_percent_9, RDOTemp_C_9, EXOTemp_C_1, EXOCond_uScm_1, EXOSpCond _uScm_1, EXOTDS_mgL_1, EXODOsat_percent_1, EXODO_mgL_1, EXOChla_RFU_1, EXOChla_ugL_1, EXOBGAPC_RFU_1, EXOBGAPC _ugL_1, EXOfDOM_RFU_1, EXOfDOM_QSU_???"	categorical				
